date,year,month,sla_mm,decimal_year,predicted
1993-01-15,1993,1,41.4000004529953,1993.0416666666667,-13.075345124840169
1993-02-15,1993,2,-4.999999888241291,1993.125,-12.785862638541403
1993-03-15,1993,3,-4.600000102072954,1993.2083333333333,-12.496380152242637
1993-04-15,1993,4,24.800000712275505,1993.2916666666667,-12.206897665942961
1993-05-15,1993,5,2.7000000700354576,1993.375,-11.917415179644195
1993-06-15,1993,6,4.100000020116568,1993.4583333333333,-11.627932693345429
1993-07-15,1993,7,1.9000000320374966,1993.5416666666667,-11.338450207046662
1993-08-15,1993,8,10.80000028014183,1993.625,-11.048967720747896
1993-09-15,1993,9,8.00000037997961,1993.7083333333333,-10.75948523444913
1993-10-15,1993,10,-13.399999588727951,1993.7916666666667,-10.470002748149454
1993-11-15,1993,11,1.500000013038516,1993.875,-10.180520261850688
1993-12-15,1993,12,-12.799999676644802,1993.9583333333333,-9.891037775551922
1994-01-15,1994,1,32.600000500679016,1994.0416666666667,-9.601555289252246
1994-02-15,1994,2,-16.200000420212746,1994.125,-9.31207280295439
1994-03-15,1994,3,-29.79999966919422,1994.2083333333333,-9.022590316655624
1994-04-15,1994,4,-16.499999910593033,1994.2916666666667,-8.733107830355948
1994-05-15,1994,5,-16.40000008046627,1994.375,-8.443625344057182
1994-06-15,1994,6,29.400000348687172,1994.4583333333333,-8.154142857758416
1994-07-15,1994,7,-19.500000402331352,1994.5416666666667,-7.86466037145874
1994-08-15,1994,8,5.2999998442828655,1994.625,-7.575177885159974
1994-09-15,1994,9,-45.40000110864639,1994.7083333333333,-7.285695398861208
1994-10-15,1994,10,-16.100000590085983,1994.7916666666667,-6.9962129125624415
1994-11-15,1994,11,24.900000542402267,1994.875,-6.706730426263675
1994-12-15,1994,12,97.80000150203705,1994.9583333333333,-6.417247939964909
1995-01-15,1995,1,29.400000348687172,1995.0416666666667,-6.1277654536652335
1995-02-15,1995,2,32.80000016093254,1995.125,-5.838282967366467
1995-03-15,1995,3,26.799999177455902,1995.2083333333333,-5.548800481067701
1995-04-15,1995,4,20.800000056624413,1995.2916666666667,-5.2593179947680255
1995-05-15,1995,5,-15.699999406933784,1995.375,-4.969835508469259
1995-06-15,1995,6,61.59999966621399,1995.4583333333333,-4.680353022170493
1995-07-15,1995,7,-1.0000000474974513,1995.5416666666667,-4.390870535871727
1995-08-15,1995,8,8.500000461935997,1995.625,-4.101388049572961
1995-09-15,1995,9,40.800001472234726,1995.7083333333333,-3.8119055632741947
1995-10-15,1995,10,-13.100000098347664,1995.7916666666667,-3.522423076974519
1995-11-15,1995,11,-23.399999365210533,1995.875,-3.232940590675753
1995-12-15,1995,12,20.999999716877937,1995.9583333333333,-2.9434581043769867
1996-01-15,1996,1,21.700000390410423,1996.0416666666667,-2.653975618077311
1996-02-15,1996,2,46.50000110268593,1996.125,-2.364493131778545
1996-03-15,1996,3,9.89999994635582,1996.2083333333333,-2.0750106454797788
1996-04-15,1996,4,44.79999840259552,1996.2916666666667,-1.7855281591810126
1996-05-15,1996,5,7.400000002235174,1996.375,-1.4960456728822464
1996-06-15,1996,6,16.699999570846558,1996.4583333333333,-1.2065631865834803
1996-07-15,1996,7,-35.00000014901161,1996.5416666666667,-0.9170807002838046
1996-08-15,1996,8,-60.69999933242798,1996.625,-0.6275982139850385
1996-09-15,1996,9,-29.899999499320984,1996.7083333333333,-0.3381157276862723
1996-10-15,1996,10,-22.299999371170998,1996.7916666666667,-0.04863324138659664
1996-11-15,1996,11,-55.799998342990875,1996.875,0.24084924491216952
1996-12-15,1996,12,1.3000000035390258,1996.9583333333333,0.5303317312100262
1997-01-15,1997,1,-50.50000175833702,1997.0416666666667,0.8198142175097018
1997-02-15,1997,2,-45.60000076889992,1997.125,1.109296703808468
1997-03-15,1997,3,-44.79999840259552,1997.2083333333333,1.3987791901072342
1997-04-15,1997,4,-3.599999938160181,1997.2916666666667,1.6882616764069098
1997-05-15,1997,5,-31.700000166893005,1997.375,1.977744162705676
1997-06-15,1997,6,-22.90000021457672,1997.4583333333333,2.267226649004442
1997-07-15,1997,7,-15.49999974668026,1997.5416666666667,2.556709135304118
1997-08-15,1997,8,33.799998462200165,1997.625,2.8461916216019745
1997-09-15,1997,9,13.199999928474426,1997.7083333333333,3.1356741079007406
1997-10-15,1997,10,41.200000792741776,1997.7916666666667,3.4251565942004163
1997-11-15,1997,11,22.600000724196434,1997.875,3.7146390804991825
1997-12-15,1997,12,71.90000265836716,1997.9583333333333,4.004121566797949
1998-01-15,1998,1,32.499998807907104,1998.0416666666667,4.293604053097624
1998-02-15,1998,2,52.400000393390656,1998.125,4.58308653939639
1998-03-15,1998,3,72.3000019788742,1998.2083333333333,4.872569025695157
1998-04-15,1998,4,148.80000054836273,1998.2916666666667,5.162051511993923
1998-05-15,1998,5,80.89999854564667,1998.375,5.451533998292689
1998-06-15,1998,6,57.5999990105629,1998.4583333333333,5.741016484591455
1998-07-15,1998,7,40.10000079870224,1998.5416666666667,6.030498970891131
1998-08-15,1998,8,51.899999380111694,1998.625,6.319981457189897
1998-09-15,1998,9,23.000000044703484,1998.7083333333333,6.609463943488663
1998-10-15,1998,10,-24.800000712275505,1998.7916666666667,6.898946429788339
1998-11-15,1998,11,-19.200000911951065,1998.875,7.188428916087105
1998-12-15,1998,12,38.40000182390213,1998.9583333333333,7.477911402385871
1999-01-15,1999,1,31.599998474121094,1999.0416666666667,7.767393888684637
1999-02-15,1999,2,-24.800000712275505,1999.125,8.056876374983403
1999-03-15,1999,3,-25.00000037252903,1999.2083333333333,8.34635886128217
1999-04-15,1999,4,-31.39999881386757,1999.2916666666667,8.635841347581845
1999-05-15,1999,5,60.600001364946365,1999.375,8.925323833880611
1999-06-15,1999,6,30.799999833106995,1999.4583333333333,9.214806320179378
1999-07-15,1999,7,-6.500000134110451,1999.5416666666667,9.504288806479053
1999-08-15,1999,8,42.70000010728836,1999.625,9.79377129277782
1999-09-15,1999,9,29.999999329447746,1999.7083333333333,10.083253779076585
1999-10-15,1999,10,-16.79999940097332,1999.7916666666667,10.372736265375352
1999-11-15,1999,11,22.80000038444996,1999.875,10.662218751674118
1999-12-15,1999,12,-30.20000085234642,1999.9583333333333,10.951701237972884
2000-01-15,2000,1,-22.50000089406967,2000.0416666666667,11.24118372427256
2000-02-15,2000,2,-32.099999487400055,2000.125,11.530666210571326
2000-03-15,2000,3,-47.29999974370003,2000.2083333333333,11.820148696870092
2000-04-15,2000,4,-106.60000145435333,2000.2916666666667,12.109631183169768
2000-05-15,2000,5,36.29999980330467,2000.375,12.399113669468534
2000-06-15,2000,6,-13.100000098347664,2000.4583333333333,12.68859615576639
2000-07-15,2000,7,-36.80000081658363,2000.5416666666667,12.978078642066066
2000-08-15,2000,8,-53.599998354911804,2000.625,13.267561128364832
2000-09-15,2000,9,-1.500000013038516,2000.7083333333333,13.557043614663598
2000-10-15,2000,10,-89.19999748468399,2000.7916666666667,13.846526100963274
2000-11-15,2000,11,-21.900000050663948,2000.875,14.13600858726204
2000-12-15,2000,12,-24.10000003874302,2000.9583333333333,14.425491073560806
2001-01-15,2001,1,-20.099999383091927,2001.0416666666667,14.714973559860482
2001-02-15,2001,2,-69.7999969124794,2001.125,15.004456046158339
2001-03-15,2001,3,4.900000058114529,2001.2083333333333,15.293938532457105
2001-04-15,2001,4,-52.400000393390656,2001.2916666666667,15.58342101875678
2001-05-15,2001,5,-0.19999999494757503,2001.375,15.872903505055547
2001-06-15,2001,6,-21.900000050663948,2001.4583333333333,16.162385991354313
2001-07-15,2001,7,-35.999998450279236,2001.5416666666667,16.45186847765399
2001-08-15,2001,8,-71.69999927282333,2001.625,16.741350963952755
2001-09-15,2001,9,-43.49999874830246,2001.7083333333333,17.03083345025152
2001-10-15,2001,10,-19.999999552965164,2001.7916666666667,17.320315936550287
2001-11-15,2001,11,-56.40000104904175,2001.875,17.609798422849053
