,datasetID,accessible,institution,dataStructure,cdm_data_type,class,title,minLongitude (degrees_east),maxLongitude (degrees_east),longitudeSpacing (degrees_east),minLatitude (degrees_north),maxLatitude (degrees_north),latitudeSpacing (degrees_north),minAltitude (m),maxAltitude (m),minTime (UTC),maxTime (UTC),timeSpacing (seconds),griddap,subset,tabledap,MakeAGraph,sos,wcs,wms,files,fgdc,iso19115,metadata,sourceUrl,infoUrl,rss,email,testOutOfDate,outOfDate,summary
283,sws_ssp119_2020_2100_depthmin,public,Bio-Oracle consortium: https://www.bio-oracle.org,grid,Grid,EDDGridFromNcFiles,Bio-Oracle SeaWaterSpeed [depthMin]SSP119 2020-2100.,-179.975,179.975,0.05,-89.975,89.975,0.05,,,2020-01-01T00:00:00Z,2090-01-01T00:00:00Z,315582171.4,https://erddap.bio-oracle.org/erddap/griddap/sws_ssp119_2020_2100_depthmin,,,https://erddap.bio-oracle.org/erddap/griddap/sws_ssp119_2020_2100_depthmin.graph,,,,https://erddap.bio-oracle.org/erddap/files/sws_ssp119_2020_2100_depthmin/,https://erddap.bio-oracle.org/erddap/metadata/fgdc/xml/sws_ssp119_2020_2100_depthmin_fgdc.xml,https://erddap.bio-oracle.org/erddap/metadata/iso19115/xml/sws_ssp119_2020_2100_depthmin_iso19115.xml,https://erddap.bio-oracle.org/erddap/info/sws_ssp119_2020_2100_depthmin/index,(local files),https://www.bio-oracle.org,http://erddap.bio-oracle.org/erddap/rss/sws_ssp119_2020_2100_depthmin.rss,https://erddap.bio-oracle.org/erddap/subscriptions/add.html?datasetID=sws_ssp119_2020_2100_depthmin&showErrors=false&email=,,,Uses attributes recommended by https://cfconventions.org
284,sws_ssp126_2020_2100_depthmin,public,Bio-Oracle consortium: https://www.bio-oracle.org,grid,Grid,EDDGridFromNcFiles,Bio-Oracle SeaWaterSpeed [depthMin]SSP126 2020-2100.,-179.975,179.975,0.05,-89.975,89.975,0.05,,,2020-01-01T00:00:00Z,2090-01-01T00:00:00Z,315582171.4,https://erddap.bio-oracle.org/erddap/griddap/sws_ssp126_2020_2100_depthmin,,,https://erddap.bio-oracle.org/erddap/griddap/sws_ssp126_2020_2100_depthmin.graph,,,,https://erddap.bio-oracle.org/erddap/files/sws_ssp126_2020_2100_depthmin/,https://erddap.bio-oracle.org/erddap/metadata/fgdc/xml/sws_ssp126_2020_2100_depthmin_fgdc.xml,https://erddap.bio-oracle.org/erddap/metadata/iso19115/xml/sws_ssp126_2020_2100_depthmin_iso19115.xml,https://erddap.bio-oracle.org/erddap/info/sws_ssp126_2020_2100_depthmin/index,(local files),https://www.bio-oracle.org,http://erddap.bio-oracle.org/erddap/rss/sws_ssp126_2020_2100_depthmin.rss,https://erddap.bio-oracle.org/erddap/subscriptions/add.html?datasetID=sws_ssp126_2020_2100_depthmin&showErrors=false&email=,,,Uses attributes recommended by https://cfconventions.org
285,sws_ssp245_2020_2100_depthmin,public,Bio-Oracle consortium: https://www.bio-oracle.org,grid,Grid,EDDGridFromNcFiles,Bio-Oracle SeaWaterSpeed [depthMin]SSP245 2020-2100.,-179.975,179.975,0.05,-89.975,89.975,0.05,,,2020-01-01T00:00:00Z,2090-01-01T00:00:00Z,315582171.4,https://erddap.bio-oracle.org/erddap/griddap/sws_ssp245_2020_2100_depthmin,,,https://erddap.bio-oracle.org/erddap/griddap/sws_ssp245_2020_2100_depthmin.graph,,,,https://erddap.bio-oracle.org/erddap/files/sws_ssp245_2020_2100_depthmin/,https://erddap.bio-oracle.org/erddap/metadata/fgdc/xml/sws_ssp245_2020_2100_depthmin_fgdc.xml,https://erddap.bio-oracle.org/erddap/metadata/iso19115/xml/sws_ssp245_2020_2100_depthmin_iso19115.xml,https://erddap.bio-oracle.org/erddap/info/sws_ssp245_2020_2100_depthmin/index,(local files),https://www.bio-oracle.org,http://erddap.bio-oracle.org/erddap/rss/sws_ssp245_2020_2100_depthmin.rss,https://erddap.bio-oracle.org/erddap/subscriptions/add.html?datasetID=sws_ssp245_2020_2100_depthmin&showErrors=false&email=,,,Uses attributes recommended by https://cfconventions.org
286,sws_ssp370_2020_2100_depthmin,public,Bio-Oracle consortium: https://www.bio-oracle.org,grid,Grid,EDDGridFromNcFiles,Bio-Oracle SeaWaterSpeed [depthMin]SSP370 2020-2100.,-179.975,179.975,0.05,-89.975,89.975,0.05,,,2020-01-01T00:00:00Z,2090-01-01T00:00:00Z,315582171.4,https://erddap.bio-oracle.org/erddap/griddap/sws_ssp370_2020_2100_depthmin,,,https://erddap.bio-oracle.org/erddap/griddap/sws_ssp370_2020_2100_depthmin.graph,,,,https://erddap.bio-oracle.org/erddap/files/sws_ssp370_2020_2100_depthmin/,https://erddap.bio-oracle.org/erddap/metadata/fgdc/xml/sws_ssp370_2020_2100_depthmin_fgdc.xml,https://erddap.bio-oracle.org/erddap/metadata/iso19115/xml/sws_ssp370_2020_2100_depthmin_iso19115.xml,https://erddap.bio-oracle.org/erddap/info/sws_ssp370_2020_2100_depthmin/index,(local files),https://www.bio-oracle.org,http://erddap.bio-oracle.org/erddap/rss/sws_ssp370_2020_2100_depthmin.rss,https://erddap.bio-oracle.org/erddap/subscriptions/add.html?datasetID=sws_ssp370_2020_2100_depthmin&showErrors=false&email=,,,Uses attributes recommended by https://cfconventions.org
287,sws_ssp460_2020_2100_depthmin,public,Bio-Oracle consortium: https://www.bio-oracle.org,grid,Grid,EDDGridFromNcFiles,Bio-Oracle SeaWaterSpeed [depthMin]SSP460 2020-2100.,-179.975,179.975,0.05,-89.975,89.975,0.05,,,2020-01-01T00:00:00Z,2090-01-01T00:00:00Z,315582171.4,https://erddap.bio-oracle.org/erddap/griddap/sws_ssp460_2020_2100_depthmin,,,https://erddap.bio-oracle.org/erddap/griddap/sws_ssp460_2020_2100_depthmin.graph,,,,https://erddap.bio-oracle.org/erddap/files/sws_ssp460_2020_2100_depthmin/,https://erddap.bio-oracle.org/erddap/metadata/fgdc/xml/sws_ssp460_2020_2100_depthmin_fgdc.xml,https://erddap.bio-oracle.org/erddap/metadata/iso19115/xml/sws_ssp460_2020_2100_depthmin_iso19115.xml,https://erddap.bio-oracle.org/erddap/info/sws_ssp460_2020_2100_depthmin/index,(local files),https://www.bio-oracle.org,http://erddap.bio-oracle.org/erddap/rss/sws_ssp460_2020_2100_depthmin.rss,https://erddap.bio-oracle.org/erddap/subscriptions/add.html?datasetID=sws_ssp460_2020_2100_depthmin&showErrors=false&email=,,,Uses attributes recommended by https://cfconventions.org
288,sws_ssp585_2020_2100_depthmin,public,Bio-Oracle consortium: https://www.bio-oracle.org,grid,Grid,EDDGridFromNcFiles,Bio-Oracle SeaWaterSpeed [depthMin]SSP585 2020-2100.,-179.975,179.975,0.05,-89.975,89.975,0.05,,,2020-01-01T00:00:00Z,2090-01-01T00:00:00Z,315582171.4,https://erddap.bio-oracle.org/erddap/griddap/sws_ssp585_2020_2100_depthmin,,,https://erddap.bio-oracle.org/erddap/griddap/sws_ssp585_2020_2100_depthmin.graph,,,,https://erddap.bio-oracle.org/erddap/files/sws_ssp585_2020_2100_depthmin/,https://erddap.bio-oracle.org/erddap/metadata/fgdc/xml/sws_ssp585_2020_2100_depthmin_fgdc.xml,https://erddap.bio-oracle.org/erddap/metadata/iso19115/xml/sws_ssp585_2020_2100_depthmin_iso19115.xml,https://erddap.bio-oracle.org/erddap/info/sws_ssp585_2020_2100_depthmin/index,(local files),https://www.bio-oracle.org,http://erddap.bio-oracle.org/erddap/rss/sws_ssp585_2020_2100_depthmin.rss,https://erddap.bio-oracle.org/erddap/subscriptions/add.html?datasetID=sws_ssp585_2020_2100_depthmin&showErrors=false&email=,,,Uses attributes recommended by https://cfconventions.org
289,sws_baseline_2000_2019_depthsurf,public,Bio-Oracle consortium: https://www.bio-oracle.org,grid,Grid,EDDGridFromNcFiles,Bio-Oracle SeaWaterSpeed [depthSurf]Baseline 2000-2019.,-179.975,179.975,0.05,-89.975,89.975,0.05,,,2000-01-01T00:00:00Z,2010-01-01T00:00:00Z,315619200,https://erddap.bio-oracle.org/erddap/griddap/sws_baseline_2000_2019_depthsurf,,,https://erddap.bio-oracle.org/erddap/griddap/sws_baseline_2000_2019_depthsurf.graph,,,,https://erddap.bio-oracle.org/erddap/files/sws_baseline_2000_2019_depthsurf/,https://erddap.bio-oracle.org/erddap/metadata/fgdc/xml/sws_baseline_2000_2019_depthsurf_fgdc.xml,https://erddap.bio-oracle.org/erddap/metadata/iso19115/xml/sws_baseline_2000_2019_depthsurf_iso19115.xml,https://erddap.bio-oracle.org/erddap/info/sws_baseline_2000_2019_depthsurf/index,(local files),https://www.bio-oracle.org,http://erddap.bio-oracle.org/erddap/rss/sws_baseline_2000_2019_depthsurf.rss,https://erddap.bio-oracle.org/erddap/subscriptions/add.html?datasetID=sws_baseline_2000_2019_depthsurf&showErrors=false&email=,,,Uses attributes recommended by https://cfconventions.org
290,sws_ssp119_2020_2100_depthsurf,public,Bio-Oracle consortium: https://www.bio-oracle.org,grid,Grid,EDDGridFromNcFiles,Bio-Oracle SeaWaterSpeed [depthSurf]SSP119 2020-2100.,-179.975,179.975,0.05,-89.975,89.975,0.05,,,2020-01-01T00:00:00Z,2090-01-01T00:00:00Z,315582171.4,https://erddap.bio-oracle.org/erddap/griddap/sws_ssp119_2020_2100_depthsurf,,,https://erddap.bio-oracle.org/erddap/griddap/sws_ssp119_2020_2100_depthsurf.graph,,,,https://erddap.bio-oracle.org/erddap/files/sws_ssp119_2020_2100_depthsurf/,https://erddap.bio-oracle.org/erddap/metadata/fgdc/xml/sws_ssp119_2020_2100_depthsurf_fgdc.xml,https://erddap.bio-oracle.org/erddap/metadata/iso19115/xml/sws_ssp119_2020_2100_depthsurf_iso19115.xml,https://erddap.bio-oracle.org/erddap/info/sws_ssp119_2020_2100_depthsurf/index,(local files),https://www.bio-oracle.org,http://erddap.bio-oracle.org/erddap/rss/sws_ssp119_2020_2100_depthsurf.rss,https://erddap.bio-oracle.org/erddap/subscriptions/add.html?datasetID=sws_ssp119_2020_2100_depthsurf&showErrors=false&email=,,,Uses attributes recommended by https://cfconventions.org
291,sws_ssp126_2020_2100_depthsurf,public,Bio-Oracle consortium: https://www.bio-oracle.org,grid,Grid,EDDGridFromNcFiles,Bio-Oracle SeaWaterSpeed [depthSurf]SSP126 2020-2100.,-179.975,179.975,0.05,-89.975,89.975,0.05,,,2020-01-01T00:00:00Z,2090-01-01T00:00:00Z,315582171.4,https://erddap.bio-oracle.org/erddap/griddap/sws_ssp126_2020_2100_depthsurf,,,https://erddap.bio-oracle.org/erddap/griddap/sws_ssp126_2020_2100_depthsurf.graph,,,,https://erddap.bio-oracle.org/erddap/files/sws_ssp126_2020_2100_depthsurf/,https://erddap.bio-oracle.org/erddap/metadata/fgdc/xml/sws_ssp126_2020_2100_depthsurf_fgdc.xml,https://erddap.bio-oracle.org/erddap/metadata/iso19115/xml/sws_ssp126_2020_2100_depthsurf_iso19115.xml,https://erddap.bio-oracle.org/erddap/info/sws_ssp126_2020_2100_depthsurf/index,(local files),https://www.bio-oracle.org,http://erddap.bio-oracle.org/erddap/rss/sws_ssp126_2020_2100_depthsurf.rss,https://erddap.bio-oracle.org/erddap/subscriptions/add.html?datasetID=sws_ssp126_2020_2100_depthsurf&showErrors=false&email=,,,Uses attributes recommended by https://cfconventions.org
292,sws_ssp245_2020_2100_depthsurf,public,Bio-Oracle consortium: https://www.bio-oracle.org,grid,Grid,EDDGridFromNcFiles,Bio-Oracle SeaWaterSpeed [depthSurf]SSP245 2020-2100.,-179.975,179.975,0.05,-89.975,89.975,0.05,,,2020-01-01T00:00:00Z,2090-01-01T00:00:00Z,315582171.4,https://erddap.bio-oracle.org/erddap/griddap/sws_ssp245_2020_2100_depthsurf,,,https://erddap.bio-oracle.org/erddap/griddap/sws_ssp245_2020_2100_depthsurf.graph,,,,https://erddap.bio-oracle.org/erddap/files/sws_ssp245_2020_2100_depthsurf/,https://erddap.bio-oracle.org/erddap/metadata/fgdc/xml/sws_ssp245_2020_2100_depthsurf_fgdc.xml,https://erddap.bio-oracle.org/erddap/metadata/iso19115/xml/sws_ssp245_2020_2100_depthsurf_iso19115.xml,https://erddap.bio-oracle.org/erddap/info/sws_ssp245_2020_2100_depthsurf/index,(local files),https://www.bio-oracle.org,http://erddap.bio-oracle.org/erddap/rss/sws_ssp245_2020_2100_depthsurf.rss,https://erddap.bio-oracle.org/erddap/subscriptions/add.html?datasetID=sws_ssp245_2020_2100_depthsurf&showErrors=false&email=,,,Uses attributes recommended by https://cfconventions.org
